pubmed_id,author_rank,affiliation
37742167,3,"Department of Internal Medicine, College of Medical Sciences and Teaching Hospital, Bharatpur, Nepal."
37742166,0,"Pokhara Academy of Health Sciences, Pokhara, Nepal."
37742166,1,"Pokhara Academy of Health Sciences, Pokhara, Nepal."
37742166,2,"Gandaki Medical College, Pokhara,Nepal."
37742166,3,"Public Health Promotion and Development Organization, Kathmandu, Nepal."
37742166,4,AIDS Healthcare Foundation Nepal.
37742166,5,"College of Nursing, Nepalese institute of Health Sciences, Kathmandu, Nepal."
37742166,6,"Public Health Promotion and Development Organization, Kathmandu, Nepal."
37742163,0,"Nepal Health Research Council, Kathmandu, Nepal."
37742163,1,"Department of Emergency Medicine and General Practice, Nepal Police Hospital, Kathmandu, Nepal."
37742163,2,"One Health Research and Training Center, Kathmandu, Nepal."
37742163,3,"One Health Research and Training Center, Kathmandu, Nepal."
37742163,4,"One Health Research and Training Center, Kathmandu, Nepal."
37742163,5,"One Health Research and Training Center, Kathmandu, Nepal."
37742163,6,"Department of Community Programs, Dhulikhel Hospital-Kathmandu University Hospital, Nepal."
37742163,7,"School of Public Health, Chitwan Medical College, Chitwan, Nepal."
37742163,8,"Department of General Practice,Patan Academy of Health Science,Lalitpur, Nepal."
37742163,9,"One Health Research and Training Center, Kathmandu, Nepal."
37742163,10,"Department of Psychiatry, Nepalese Army Institute of Health Sciences, Kathmandu, Nepal."
37742163,11,"Oda Foundation Nepal, Mahawai Rural Municipality, Kalikot."
37742163,12,"Department of Health Services, Ministry of Health and Population, Kathmandu, Nepal."
37742157,0,"Depatment of Medicine, Tribhuvan University Teaching Hospital,."
37742157,1,"Department of Pathology, Tribhuvan University Teaching Hospital."
37742157,2,"Depatment of Medicine, Tribhuvan University Teaching Hospital."
37742157,3,"Depatment of Medicine, Tribhuvan University Teaching Hospital."
37742157,4,Patan Academy of Health Sciences.
37742161,0,"Department of Oral Pathology, Chitwan Medical College, Bharatpur-10, Nepal."
37742161,1,"Department of Prosthodontics and Maxillofacial Prosthetics, Chitwan Medical College, Bharatpur-10, Nepal."
37742161,2,"Department of Prosthodontics and Maxillofacial Prosthetics, Chitwan Medical College, Bharatpur-10, Nepal."
37742161,3,"Department of Prosthodontics and Maxillofacial Prosthetics, Chitwan Medical College, Bharatpur-10, Nepal."
37742161,4,"Department of Microbiology, Chitwan Medical College, Bharatpur-10, Nepal."
37742168,0,"Department of Biochemistry, Nepalgunj Medical College Teaching Hospital, Kohalpur."
37742168,1,"Department of Biochemistry, Nepal Medical College Teaching Hospital, Kathmandu."
37742168,2,"Department of Biochemistry, Nepal Medical College Teaching Hospital, Kathmandu."
37742168,3,"Department of Biochemistry, Nepalgunj Medical College Teaching Hospital, Kohalpur."
37742168,4,"University of the Potomac, USA."
37742168,5,"Kathmandu Medical College and Teaching Hospital, Sinamangal, Kathmandu."
37742168,6,"Department of Biochemistry, Institute of Medicine, Kathmandu, Nepal."
37742169,0,"Department of Pediatrics, KIST Medical College and Teaching Hospital, Imadol, Lalitpur, Nepal."
37742169,1,"Department of Pediatrics, KIST Medical College and Teaching Hospital, Imadol, Lalitpur, Nepal."
37742165,0,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,1,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,2,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,3,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,4,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,5,"Department of Oral and Maxillofacial Surgery, B.P Koirala Institute of Health Sciences, Dharan, Nepal."
37742165,6,"Department of Oral and Maxillofacial Surgery, Ninewells Hospital, Dundee, UK."
37742159,0,"Kathmandu Model Hospital, PradansaniMarga, Kathmandu, Nepal."
37742159,1,"Kathmandu Model Hospital, PradansaniMarga, Kathmandu, Nepal."
37742159,2,"Paropakar Maternity and Women's Hospital, Thapathali, Kathmandu, Nepal."
37742171,0,"B.P. Koirala Lions Center for Ophthalmic Studies, IOM, TUTH, Nepal."
37742171,1,"Sagarmatha Choudhary Eye Hospital, Lahan, Nepal."
37742171,2,"Sagarmatha Choudhary Eye Hospital, Lahan, Nepal."
37742171,3,"Sagarmatha Choudhary Eye Hospital, Lahan, Nepal."
37742171,4,"Kathmandu Medical College Teaching Hospital, Kathmandu, Nepal."
37742171,5,"College of Medical Sciences, Chitwan, Nepal."
37742171,6,"St. Elizabeth Youngstown Hospital/NEOMED, Ohio, United States of America."
37742171,7,"National Medical College, Birgunj, Nepal."
37742160,0,"Department of Radiology, Intervention Radiology section, Siriraj Hospital, Bangkok noi, Mahidol University, Thailand."
37742160,1,"Department of Radiology, Intervention Radiology section, Siriraj Hospital, Bangkok noi, Mahidol University, Thailand."
37742160,2,"Department of Radiology, Intervention Radiology section, Chitwan Medical College, Bharatput-10, Tribhuvan University, Nepal."
37742160,3,"Department of Radiology, Intervention Radiology section, Chitwan Medical College, Bharatput-10, Tribhuvan University, Nepal."
37742151,0,"Department of Child, Adolescent Health and Maternal Care, School of Public Health, Capital Medical University, Beijing 100069, China."
37742151,1,"Department of Child, Adolescent Health and Maternal Care, School of Public Health, Capital Medical University, Beijing 100069, China."
37742151,2,"Department of Research and Development, Dhulikhel Hospital-Kathmandu University Hospital, Kavrepalanchok, Nepal."
37742151,3,"Ministry of Health and Population, Ramshah Path, Kathmandu, Nepal."
37742151,4,"Department of Child, Adolescent Health and Maternal Care, School of Public Health, Capital Medical University, Beijing 100069, China."
37742155,0,"Department of Obstetrics and Gynaecology, Paropakar Maternity and Women's Hospital, National Academy of Medical Sciences, Nepal."
37742155,1,"Department of Obstetrics and Gynaecology, Kathmandu Model Hospital, Nepal."
37742148,0,"Department of Internal Medicine, Devdaha Medical College and Research Institute,Lumbini, Nepal."
37742148,1,"Department of Radio-diagnosis, Devdaha Medical College and Research Institute, Lumbini, Nepal."
37742148,2,"Department of Internal Medicine, Devdaha Medical College and Research Institute,Lumbini, Nepal."
37742148,3,"Department of Internal Medicine, Devdaha Medical College and Research Institute,Lumbini, Nepal."
37742148,4,"Department of Internal Medicine, Devdaha Medical College and Research Institute,Lumbini, Nepal."
37742148,5,"Department of Nursing, Maharajgunj Nursing College, Institute of Medicine, Kathmandu, Nepal."
37742148,6,"Department of Nursing, Universal College of Medical Sciences, Bhairahawa, Nepal."
37742148,7,"Neuro and Allied Clinic, Anchalpur, Bhairahawa."
37742106,0,"Poznan University of Medical Sciences, 37807, Department of Palliative Medicine, Poznan, Wielkopolskie, Poland; gkowalski@ump.edu.pl."
37742106,1,"Poznan University of Medical Sciences, 37807, Department of Palliative Medicine, Poznan, Poland; m.domagalska@icloud.com."
37742106,2,"Poznan University of Medical Sciences, 37807, Department of Trauma, Burns and Plastic Surgery, Poznan, Wielkopolskie, Poland; slowik@man.poznan.pl."
37742106,3,"Poznan University of Medical Sciences, 37807, Department of Palliative Medicine, Poznan, Wielkopolskie, Poland; monikagrochowicka@gmail.com."
37742106,4,"Wroclaw Medical University, 49550, Department of Forensic Medicine, Wroclaw, Dolnoslaskie, Poland; marcin.zawadzki@umed.wroc.pl."
37742106,5,"Poznan University of Medical Sciences, 37807, Department of Palliative Medicine, Poznan, Wielkopolskie, Poland; skropins@ump.edu.pl."
37742106,6,"University of Zielona Gora, 49792, Chair of Palliative Medicine, Institute of Medical Sciences Collegium Medicum, Zielona Gora, Lubuskie, Poland."
37742106,6,"Poznan University of Medical Sciences, 37807, University Hospital of Heliodor Święcicki, Partner of Poznań University of Medical Sciences, Poznan, Wielkopolskie, Poland; wojciechleppert@wp.pl."
37742106,7,"Poznan University of Medical Sciences, 37807, Chair and Department of Palliative Medicine, Poznan, Wielkopolskie, Poland; kwt@tobis.pl."
37742108,0,"Nanjing Medical University, 12461, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, 101 Longmian Avenue, Nanjing, Jiangsu Province, China, Nanjing, Jiangsu, China, 201203; njmulss@njmu.edu.cn."
37742108,1,"Nanjing Medical University, 12461, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, Nanjing, Jiangsu, China; yedanyu1996@163.com."
37742108,2,"Nanjing Medical University, 12461, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, the university town in Jiangning, Nanjing, Nanjing, Jiangsu, China, 210000; yuwang06080028@163.com."
37742108,3,"Nanjing Medical University, 12461, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, Nanjing Medical University, Nanjing, Jiangsu, China, 211166; liuxingeng2021@163.com."
37742108,4,"Nanjing Medical University, 12461, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, Nanjing, Jiangsu, China; wangxiaoqian9@163.com."
37742108,5,"Nanjing Medical University, 12461, Key Laboratory of Targeted Intervention of Cardiovascular Disease, Collaborative Innovation Center for Cardiovascular Disease Translational Medicine, Nanjing, China; lipingxie@njmu.edu.cn."
37742108,6,"Nanjing Medical University, Key Laboratory of Cardiovascular and Cerebrovascular Medicine, Key Laboratory of Targeted Intervention of Cardiovascular Disease, Collaborative Innovation Center for Cardiovascular Disease Translational Medicine, NanJing, China."
37742108,6,"2. State Key Laboratory of Frigid Zone Cardiovascular Diseases (SKLFZCD), Harbin, Heilongjiang, China; yongji@njmu.edu.cn."
37742099,0,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,1,"Confucius Energy Storage Lab, School of Energy and Environment, Southeast University, Nanjing, 210096, P. R. China."
37742099,2,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,3,"Confucius Energy Storage Lab, School of Energy and Environment, Southeast University, Nanjing, 210096, P. R. China."
37742099,4,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,5,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,6,"Confucius Energy Storage Lab, School of Energy and Environment, Southeast University, Nanjing, 210096, P. R. China."
37742099,7,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand, Private Bag 3, Wits, Johannesburg, 2050, South Africa."
37742099,8,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,9,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,10,"School of Energy Science and Engineering, Nanjing Tech University, Nanjing, Jiangsu Province, 211816, P. R. China."
37742099,10,"Confucius Energy Storage Lab, School of Energy and Environment, Southeast University, Nanjing, 210096, P. R. China."
37742092,0,"Department of Hearing and Speech Sciences, Vanderbilt University School of Medicine, Nashville, United States."
37742092,1,"Department of Communication Sciences and Special Education, University of Georgia, Athens, United States."
37742092,2,"Department of Hearing and Speech Sciences, Vanderbilt University School of Medicine, Nashville, United States."
37742098,0,"Neonatal Directorate, King Edward Memorial Hospital for Women, Subiaco, Western, Australia."
37742098,1,"Neonatal Directorate, King Edward Memorial Hospital for Women, Subiaco, Western, Australia."
37742098,1,"School of Medicine, University of Western Australia, Perth, Western, Australia."
37742098,2,"Neonatal Directorate, Perth Children's Hospital, Nedlands, Western, Australia."
37742098,2,"School of Medicine, University of Western Australia, Perth, Western, Australia."
37742098,3,"Institute for Health Research, University of Notre Dame, Fremantle, Western, Australia."
37742098,4,"Neonatal Directorate, King Edward Memorial Hospital for Women, Subiaco, Western, Australia."
37742098,4,"School of Medicine, University of Western Australia, Perth, Western, Australia."
37742097,0,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,1,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,2,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,3,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,4,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,5,"Agency for Toxic Substances and Disease Registry, Office of Innovation and Analytics, Atlanta, Georgia, USA."
37742097,6,"Agency for Toxic Substances and Disease Registry, Office of the Associate Director of Science, Atlanta, Georgia, USA."
37742097,7,"Agency for Toxic Substances and Disease Registry, Office of the Associate Director of Science, Atlanta, Georgia, USA."
37742095,0,"State Key Laboratory of Advanced Technology for Materials Synthesis And Processing, Wuhan University of Technology, Wuhan, Hubei Province, 430070, P. R. China."
37742095,1,"College of Chemical And Biological Engineering, Zhejiang University, Hangzhou, Zhejiang Province, 310027, P. R. China."
37742095,2,"International School of Materials Science And Engineering, School of Materials Science And Microelectronics, Wuhan University of Technology, Wuhan, Hubei Province, 430070, P. R. China."
37742095,3,"International School of Materials Science And Engineering, School of Materials Science And Microelectronics, Wuhan University of Technology, Wuhan, Hubei Province, 430070, P. R. China."
37741975,2,"Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, China."
37741975,3,"Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, China. docgyh@163.com."
37741975,4,"Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, China. nianjiayun@126.com."
37741972,0,"Faculty of Education and Welfare Studies, Health Sciences, Åbo Akademi University, Strandgatan 2, 65100, Vaasa, Finland. emilia.viklund@abo.fi."
37741972,1,"Faculty of Education and Welfare Studies, Health Sciences, Åbo Akademi University, Strandgatan 2, 65100, Vaasa, Finland."
37741972,2,"Faculty of Education and Welfare Studies, Health Sciences, Åbo Akademi University, Strandgatan 2, 65100, Vaasa, Finland."
37741970,0,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain. emolmo@salud.madrid.org."
37741970,0,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain. emolmo@salud.madrid.org."
37741970,1,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,1,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,2,"Department of Gastroenterology and Hepatology, Metabolic Liver Disease Clinic, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,2,"Universidad de Alcalá, 28871, Madrid, Spain."
37741970,3,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,3,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,4,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,4,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,5,"Department of Gastroenterology and Hepatology, Metabolic Liver Disease Clinic, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,6,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,6,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,7,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,7,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,8,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,8,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,9,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,9,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,10,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,10,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,10,"Universidad de Alcalá, 28871, Madrid, Spain."
37741970,11,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain."
37741970,11,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,12,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain."
37741970,12,"Internal Medicine Service, Hospital Universitario La Paz. IdiPAZ, 28046, Madrid, Spain."
37741970,13,"Department of Infectious Diseases, Hospital Universitario Ramón Y Cajal, Instituto Ramón Y Cajal de Investigación Sanitaria (IRYCIS), 28034, Madrid, Spain. msconde@gmail.com."
37741970,13,"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029, Madrid, Spain. msconde@gmail.com."
37741967,0,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,1,"School of Medicine, Islamic Azad University of Medical Sciences, Tehran, Iran. gh.soode@yahoo.com."
37741967,2,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,3,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,4,"Immunology and Allergy Department, Mofid Children's Hospital, Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,5,"Laboratory of Human Genetics of Infectious Diseases, Necker Branch, INSERM U1163, Paris, France."
37741967,6,"Research Center for Immunodeficiencies, Pediatrics Center of Excellence, Children's Medical Center, Tehran University of Medical Sciences, Tehran, Iran."
37741967,7,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,8,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,9,"Lung Transplantation Research Center (LTRC), National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,10,"Lung Transplantation Research Center (LTRC), National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,11,"Tracheal Diseases Research Center (TDRC), National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,12,"Tracheal Diseases Research Center (TDRC), National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran."
37741967,13,"Pediatric Respiratory Diseases Research Center, National Research Institute of Tuberculosis and Lung Diseases (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran. m.jamee@lumc.nl."
37741967,13,"Pediatric Infections Research Center, Research Institute for Children's Health, Shahid Beheshti University of Medical Sciences, Tehran, Iran. m.jamee@lumc.nl."
37741967,13,"Laboratory for Pediatric Immunology, Department of Pediatrics, Willem-Alexander Children's Hospital, Leiden University Medical Center, Leiden, Netherlands. m.jamee@lumc.nl."
37741905,0,"Department of Psychology, University of Wisconsin-Madison, Madison, WI, 53706, USA. rcspencer@wisc.edu."
37741905,1,"Department of Psychology, University of Wisconsin-Madison, Madison, WI, 53706, USA."
37741905,2,"Department of Cell Biology and Neuroscience, Rowan University, 2 Medical Center Drive, SC220, Stratford, NJ, 08084, USA."
37741905,3,"Department of Psychology, University of Wisconsin-Madison, Madison, WI, 53706, USA."
37741932,0,"Centre for the Studies of Asphyxia and Resuscitation, Neonatal Research Unit, Royal Alexandra Hospital, Edmonton, AB, Canada."
37741822,9,"Lagos State University College of Medicine Ikeja, Lagos, Nigeria."
37741822,9,"Lagos State University Teaching Hospital, Ikeja, Lagos, Nigeria."
37741822,10,"Makerere University Lung Institute, Makerere University College of Health Sciences, Kampala, Uganda."
37741822,10,"Department of Paediatrics and Child Health, Makerere University College of Health Sciences, Kampala, Uganda."
37741822,11,"Department of Child Health, Komfo Anokye Teaching Hospital, Kumasi, Ghana."
37741822,12,"Department of Child Health, Komfo Anokye Teaching Hospital, Kumasi, Ghana."
37741822,13,"Department of Child Health, Komfo Anokye Teaching Hospital, Kumasi, Ghana."
37741822,14,"Child and Adolescent Health Unit (CAHU), Department of Primary Health Care Sciences, Faculty of Medicine and Health Sciences, University of Zimbabwe, Avondale, Harare, Zimbabwe."
37741822,14,"Parirenyatwa Group of Hospitals, Causeway, Harare, Zimbabwe."
37741822,15,"Child and Adolescent Health Unit (CAHU), Department of Primary Health Care Sciences, Faculty of Medicine and Health Sciences, University of Zimbabwe, Avondale, Harare, Zimbabwe."
37741822,16,"Centre for Genomics and Child Health, Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London, UK."
37741822,17,"Department of Paediatrics and Child Health, School of Clinical Medicine, College of Health Sciences, University of KwaZulu-Natal, Durban, South Africa."
37741808,0,"Immunology Research Center, Tabriz University of Medical Sciences, Daneshghah Ave, Tabriz, Iran."
37741808,1,"College of Medicine, Department of Genetics, Cell Biology and Anatomy, University of Nebraska Medical Center, Omaha, NE, USA."
37741808,2,"Pritzker School of Molecular Engineering, University of Chicago, Chicago, IL, USA."
37741808,3,"Department of Medical Genetics, Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Iran."
37741808,4,"Immunology Research Center, Tabriz University of Medical Sciences, Daneshghah Ave, Tabriz, Iran."
37741808,5,"Immunology Research Center, Tabriz University of Medical Sciences, Daneshghah Ave, Tabriz, Iran."
37741808,6,"Immunology Research Center, Tabriz University of Medical Sciences, Daneshghah Ave, Tabriz, Iran. akbarimo@tbzmed.ac.ir."
37741808,6,"Department of Medical Biotechnology, Faculty of Advanced Medical Sciences, Tabriz University of Medical Sciences, Tabriz, Iran. akbarimo@tbzmed.ac.ir."
37741814,0,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,0,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,0,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,1,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,1,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,1,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,2,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,2,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,2,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,3,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,3,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,3,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,4,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,4,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,4,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,5,"Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,5,"Key Laboratory of Dairy Products Processing, Ministry of Agriculture and Rural Affairs, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
37741814,5,"Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, Inner Mongolia Agricultural University, Hohhot, Inner Mongolia, China."
